rank,player_name,points,player_url,scraped_at
213,L. Midon,261,/en/players/lautaro-midon/m0oh/overview,2026-07-14T15:18:08.978153
214,H. Searle,260,/en/players/henry-searle/s0tx/overview,2026-07-14T15:18:08.978153
215,H. Squire,259,/en/players/henri-squire/s0ak/overview,2026-07-14T15:18:08.978153
216,F. Gill,259,/en/players/felix-gill/g0eu/overview,2026-07-14T15:18:08.978153
217,N. Sanchez Izquierdo,258,/en/players/nikolas-sanchez-izquierdo/s0gz/overview,2026-07-14T15:18:08.978153
218,G. Zeppieri,256,/en/players/giulio-zeppieri/z0a1/overview,2026-07-14T15:18:08.978153
219,A. Guerrieri,256,/en/players/andrea-guerrieri/g0a0/overview,2026-07-14T15:18:08.978153
220,L. Djere,255,/en/players/laslo-djere/db63/overview,2026-07-14T15:18:08.978153
221,H. Grenier,255,/en/players/hugo-grenier/gf95/overview,2026-07-14T15:18:08.978153
222,R. Noguchi,254,/en/players/rio-noguchi/n09u/overview,2026-07-14T15:18:08.978153
223,L. Draxl,253,/en/players/liam-draxl/d0dp/overview,2026-07-14T15:18:08.978153
224,J. Ficovich,253,/en/players/juan-pablo-ficovich/fa43/overview,2026-07-14T15:18:08.978153
225,D. Blanch,253,/en/players/darwin-blanch/b0no/overview,2026-07-14T15:18:08.978153
226,G. Justo,253,/en/players/guido-ivan-justo/j0aw/overview,2026-07-14T15:18:08.978153
227,A. Moro Canas,252,/en/players/alejandro-moro-canas/m0ht/overview,2026-07-14T15:18:08.978153
228,E. Butvilas,251,/en/players/edas-butvilas/b0mm/overview,2026-07-14T15:18:08.978153
229,M. Alcala Gurri,248,/en/players/max-alcala-gurri/a0ea/overview,2026-07-14T15:18:08.978153
230,R. Brancaccio,243,/en/players/raul-brancaccio/bv24/overview,2026-07-14T15:18:08.978153
231,G. Den Ouden,240,/en/players/guy-den-ouden/d0h9/overview,2026-07-14T15:18:08.978153
232,B. Shick,240,/en/players/braden-shick/s0s5/overview,2026-07-14T15:18:08.978153
233,F. Ferreira Silva,240,/en/players/frederico-ferreira-silva/sn54/overview,2026-07-14T15:18:08.978153
234,C. Tseng,237,/en/players/chun-hsin-tseng/t0ap/overview,2026-07-14T15:18:08.978153
235,O. Crawford,236,/en/players/oliver-crawford/c0ak/overview,2026-07-14T15:18:08.978153
